url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://jowhar.com/her-royal-highness-the-duchess-of-edinburgh-visits-somalia/,,Her Royal Highness The Duchess of Edinburgh Visits Somalia,20260227T210000Z,https://jowhar.com/wp-content/uploads/2026/02/Edinburgh-1-scaled.jpg,jowhar.com,English,Somalia
https://www.miragenews.com/duchess-of-edinburgh-visits-somalia-1625460/,,Duchess Of Edinburgh Visits Somalia,20260224T133000Z,https://www.gov.uk/assets/frontend/govuk-opengraph-image-4196a4d6333cf92aaf720047f56cfd91b3532d7635fc21ebcf0d5897df6b5f77.png,miragenews.com,English,United States
https://wardheernews.com/the-silent-prime-minister-how-hamza-abdi-barres-loyalty-to-one-man-is-costing-somalia-its-federation/,,The silent Prime Minister : How Hamza Abdi Barre Loyalty to One Man Is Costing Somalia Its Federation,20260329T033000Z,https://wardheernews.com/wp-content/uploads/2025/04/Hassan-Sheikh-Hamse-Bare.jpg,wardheernews.com,English,Somalia
